timestamp,fid,raw_fps,loop_fps,total_ms,read_ms,vision_ms,vision_total_ms,seg_infer_ms,seg_post_ms,det_infer_ms,det_post_ms,ocr_ms,command_ms,planner_draw_ms,serial_ms,runtime_status_ms,hud_ms,display_ms,npu_load,npu_freq_mhz,cpu_usage_percent,cpu_max_core_percent,gpu_load_percent,gpu_freq_mhz,cpu_temp_c,loadavg_1m
1783699641.539120,25,0.00,0.48,56.07,3.45,47.84,47.76,21.40,13.71,47.00,0.02,0.27,0.57,,0.07,5.73,,,100,1000.0,,,35.0,1000.0,58.2,0.98
1783699641.832367,30,23.00,0.48,124.73,1.17,123.94,123.92,62.95,51.20,112.10,0.00,0.09,0.38,,0.29,5.73,,,100,1000.0,,,35.0,1000.0,58.2,0.98
1783699642.131663,37,23.64,0.48,106.26,0.47,71.34,71.31,15.08,45.83,70.92,0.00,0.08,1.77,,9.49,23.54,,,100,1000.0,,,35.0,1000.0,58.2,0.98
1783699642.466561,43,22.89,0.48,136.09,0.51,131.56,131.53,14.62,32.00,125.26,0.00,0.36,0.78,,3.32,23.54,,,100,1000.0,,,35.0,1000.0,58.2,0.98
1783699642.672126,48,17.00,10.59,133.82,0.43,124.10,124.08,37.20,86.55,114.10,0.00,0.07,0.39,,0.30,8.36,,,100,1000.0,72.3,95.1,35.0,1000.0,61.0,0.98
1783699642.889539,54,25.67,10.59,60.97,0.64,60.31,60.28,15.96,21.24,58.58,0.00,0.10,0.40,,0.12,8.36,,,100,1000.0,72.3,95.1,35.0,1000.0,61.0,0.98
1783699643.167349,60,25.79,10.59,93.13,0.52,61.49,61.47,17.79,42.89,61.08,0.00,0.42,0.70,,0.06,30.41,,,100,1000.0,72.3,95.1,35.0,1000.0,61.0,0.98
1783699643.487522,67,23.17,10.59,110.56,10.42,109.67,109.42,35.78,71.96,91.59,0.00,0.19,0.57,,0.09,30.41,,,100,1000.0,72.3,95.1,35.0,1000.0,61.0,0.98
1783699643.729047,72,23.49,10.41,128.31,0.83,121.45,121.43,72.44,39.13,110.73,0.00,0.22,0.48,,0.08,6.03,,,100,1000.0,72.0,96.0,38.0,1000.0,61.0,1.70
1783699643.975393,78,26.20,10.41,59.70,0.91,59.06,59.03,16.86,8.06,58.65,0.01,0.10,0.41,,0.09,6.03,,,100,1000.0,72.0,96.0,38.0,1000.0,61.0,1.70
1783699644.197737,84,18.33,10.41,44.83,0.67,38.15,38.12,16.09,15.71,37.84,0.00,0.09,0.54,,0.06,5.95,,,100,1000.0,72.0,96.0,38.0,1000.0,61.0,1.70
1783699644.453501,91,26.39,10.41,62.39,0.53,61.83,61.80,16.28,45.22,60.37,0.00,0.08,0.36,,0.08,5.95,,,100,1000.0,72.0,96.0,38.0,1000.0,61.0,1.70
